source_id,source_type,relation,properties,target_id,target_type
CID_638278,Phytochemical,interacts_with,,2629,Target
CID_638278,Phytochemical,interacts_with,,2740,Target
CID_638278,Phytochemical,interacts_with,,28234,Target
CID_638278,Phytochemical,interacts_with,,3248,Target
CID_638278,Phytochemical,interacts_with,,328,Target
CID_638278,Phytochemical,interacts_with,,3292,Target
CID_638278,Phytochemical,interacts_with,,3294,Target
CID_638278,Phytochemical,interacts_with,,3309,Target
CID_638278,Phytochemical,interacts_with,,3417,Target
CID_638278,Phytochemical,interacts_with,,351,Target
CID_638278,Phytochemical,interacts_with,,3725,Target
CID_638278,Phytochemical,interacts_with,,3757,Target
CID_638278,Phytochemical,interacts_with,,3791,Target
CID_638278,Phytochemical,interacts_with,,3815,Target
CID_638278,Phytochemical,interacts_with,,387129,Target
CID_638278,Phytochemical,interacts_with,,4000,Target
CID_638278,Phytochemical,interacts_with,,4088,Target
CID_638278,Phytochemical,interacts_with,,4137,Target
CID_638278,Phytochemical,interacts_with,,4297,Target
CID_638278,Phytochemical,interacts_with,,4312,Target
CID_638278,Phytochemical,interacts_with,,4313,Target
CID_638278,Phytochemical,interacts_with,,4314,Target
CID_638278,Phytochemical,interacts_with,,4316,Target
CID_638278,Phytochemical,interacts_with,,4318,Target
CID_638278,Phytochemical,interacts_with,,4322,Target
CID_638278,Phytochemical,interacts_with,,4780,Target
CID_638278,Phytochemical,interacts_with,,4790,Target
CID_638278,Phytochemical,interacts_with,,4791,Target
CID_638278,Phytochemical,interacts_with,,5034,Target
CID_638278,Phytochemical,interacts_with,,51053,Target
CID_638278,Phytochemical,interacts_with,,51426,Target
CID_638278,Phytochemical,interacts_with,,5300,Target
CID_638278,Phytochemical,interacts_with,,5376,Target
CID_638278,Phytochemical,interacts_with,,5468,Target
CID_638278,Phytochemical,interacts_with,,54737,Target
CID_638278,Phytochemical,interacts_with,,55775,Target
CID_638278,Phytochemical,interacts_with,,5578,Target
CID_638278,Phytochemical,interacts_with,,5579,Target
CID_638278,Phytochemical,interacts_with,,5580,Target
CID_638278,Phytochemical,interacts_with,,5581,Target
CID_638278,Phytochemical,interacts_with,,5582,Target
CID_638278,Phytochemical,interacts_with,,5583,Target
CID_638278,Phytochemical,interacts_with,,5584,Target
CID_638278,Phytochemical,interacts_with,,5587,Target
CID_638278,Phytochemical,interacts_with,,5588,Target
CID_638278,Phytochemical,interacts_with,,5590,Target
CID_638278,Phytochemical,interacts_with,,5693,Target
CID_638278,Phytochemical,interacts_with,,5742,Target
CID_638278,Phytochemical,interacts_with,,5743,Target
CID_638278,Phytochemical,interacts_with,,5770,Target
CID_638278,Phytochemical,interacts_with,,5970,Target
